xy,z,val
36.1605 -27.7042,13.8093,0.00030609
36.1605 -27.7042,13.7495,0.00024283
36.1605 -27.7042,13.6896,8.88493e-05
36.1605 -27.7042,13.6297,0.000225649
36.1605 -27.7042,13.5698,0.000940545
36.1605 -27.7042,13.51,0.000771279
36.1605 -27.7042,13.4501,6.50832e-05
36.1605 -27.7042,13.3902,3.77622e-05
36.1605 -27.7042,13.3303,2.36321e-05
36.1605 -27.7042,13.2705,6.59545e-06
36.1605 -27.7042,13.2106,9.24329e-05
36.1605 -27.7042,13.1507,0.000225754
36.1605 -27.7042,13.0908,0.000142592
36.1605 -27.7042,13.031,6.48882e-06
36.1605 -27.7042,12.9711,1.91202e-06
36.1605 -27.7042,12.9112,6.28035e-05
36.1605 -27.7042,12.8513,0.000392801
36.1605 -27.7042,12.7914,0.000666345
36.1605 -27.7042,12.7316,0.000560092
36.1605 -27.7042,12.6717,0.000259887
36.1605 -27.7042,12.6118,4.254e-05
36.1605 -27.7042,12.5519,0.000355283
36.1605 -27.7042,12.4921,0.000450096
36.1605 -27.7042,12.4322,0.00022143
36.1605 -27.7042,12.3723,0.000505525
36.1605 -27.7042,12.3124,0.000668868
36.1605 -27.7042,12.2526,0.000290342
36.1605 -27.7042,12.1927,3.19072e-05
36.1605 -27.7042,12.1328,0.000131403
36.1605 -27.7042,12.0729,0.000109554
36.1605 -27.7042,12.0131,0.000108968
36.1605 -27.7042,11.9532,0.000843821
36.1605 -27.7042,11.8933,0.000742679
36.1605 -27.7042,11.8334,3.12263e-05
36.1605 -27.7042,11.7736,0.000243923
36.1605 -27.7042,11.7137,0.000227244
36.1605 -27.7042,11.6538,0.000330754
36.1605 -27.7042,11.5939,0.00033271
36.1605 -27.7042,11.534,0.000456134
36.1605 -27.7042,11.4742,0.000625595
36.1605 -27.7042,11.4143,0.000430237
36.1605 -27.7042,11.3544,0.000264708
36.1605 -27.7042,11.2945,0.000420712
36.1605 -27.7042,11.2347,0.000649709
36.1605 -27.7042,11.1748,0.00024439
36.1605 -27.7042,11.1149,0.000733185
36.1605 -27.7042,11.055,0.000965065
36.1605 -27.7042,10.9952,0.000661566
36.1605 -27.7042,10.9353,0.0013356
36.1605 -27.7042,10.8754,0.0010899
36.1605 -27.7042,10.8155,0.000677593
36.1605 -27.7042,10.7557,0.00106756
36.1605 -27.7042,10.6958,0.00115506
36.1605 -27.7042,10.6359,0.000620983
36.1605 -27.7042,10.576,0.00025485
36.1605 -27.7042,10.5161,0.000542855
36.1605 -27.7042,10.4563,0.000684804
36.1605 -27.7042,10.3964,0.000979825
36.1605 -27.7042,10.3365,0.000804413
36.1605 -27.7042,10.2766,0.00077792
36.1605 -27.7042,10.2168,0.00141509
36.1605 -27.7042,10.1569,0.000992178
36.1605 -27.7042,10.097,0.000206745
36.1605 -27.7042,10.0371,5.72594e-05
36.1605 -27.7042,9.97726,3.65794e-05
36.1605 -27.7042,9.91738,0.000346127
36.1605 -27.7042,9.85751,0.000609539
36.1605 -27.7042,9.79763,0.000638776
36.1605 -27.7042,9.73775,0.00113373
36.1605 -27.7042,9.67788,0.00130096
36.1605 -27.7042,9.618,0.000616286
36.1605 -27.7042,9.55813,0.000112522
36.1605 -27.7042,9.49825,7.2001e-05
36.1605 -27.7042,9.43837,0.000113519
36.1605 -27.7042,9.3785,0.000269447
36.1605 -27.7042,9.31862,0.00112091
36.1605 -27.7042,9.25874,0.0012019
36.1605 -27.7042,9.19887,0.000322131
36.1605 -27.7042,9.13899,0.000361955
36.1605 -27.7042,9.07912,0.000707555
36.1605 -27.7042,9.01924,0.000865842
36.1605 -27.7042,8.95936,0.000564646
36.1605 -27.7042,8.89949,0.000138735
36.1605 -27.7042,8.83961,0.00088473
36.1605 -27.7042,8.77973,0.000950463
36.1605 -27.7042,8.71986,0.000283619
36.1605 -27.7042,8.65998,0.000530817
36.1605 -27.7042,8.60011,0.000444584
36.1605 -27.7042,8.54023,0.000578782
36.1605 -27.7042,8.48035,0.000599346
36.1605 -27.7042,8.42048,0.000255386
36.1605 -27.7042,8.3606,0.000173776
36.1605 -27.7042,8.30072,0.000182199
36.1605 -27.7042,8.24085,0.00039817
36.1605 -27.7042,8.19594,0.000456965
36.1605 -27.7042,8.166,5.5351e-05
36.1605 -27.7042,8.13606,0.00213448
36.1605 -27.7042,8.10613,0.000246816
36.1605 -27.7042,8.07619,4.10243e-05
36.1605 -27.7042,8.04625,3.01229e-06
36.1605 -27.7042,8.01631,4.51314e-05
36.1605 -27.7042,7.98637,0.000717193
36.1605 -27.7042,7.95643,5.04343e-05
36.1605 -27.7042,7.9265,0.000244272
36.1605 -27.7042,7.89656,5.50225e-05
36.1605 -27.7042,7.86662,3.87319e-05
36.1605 -27.7042,7.83668,-2.68915e-05
36.1605 -27.7042,7.80674,0.00269225
36.1605 -27.7042,7.77681,0.00115171
36.1605 -27.7042,7.74687,2.23902e-05
36.1605 -27.7042,7.71693,3.37778e-05
36.1605 -27.7042,7.68699,0.00120143
36.1605 -27.7042,7.65705,0.000162759
36.1605 -27.7042,7.62711,1.39866e-05
36.1605 -27.7042,7.59718,-1.04971e-05
36.1605 -27.7042,7.56724,7.44522e-05
36.1605 -27.7042,7.5373,4.12769e-05
36.1605 -27.7042,7.50736,0.00155009
36.1605 -27.7042,7.47742,0.00343217
36.1605 -27.7042,7.44749,8.24226e-05
36.1605 -27.7042,7.41755,4.24411e-05
36.1605 -27.7042,7.38761,7.36827e-05
36.1605 -27.7042,7.35767,3.02685e-05
36.1605 -27.7042,7.32773,3.92792e-05
36.1605 -27.7042,7.2978,7.01866e-05
36.1605 -27.7042,7.26786,0.00239085
36.1605 -27.7042,7.23792,0.000263383
36.1605 -27.7042,7.20798,0.000136114
36.1605 -27.7042,7.17804,6.43432e-05
36.1605 -27.7042,7.1481,0.000626416
36.1605 -27.7042,7.11817,0.00166914
36.1605 -27.7042,7.08823,1.09768e-06
36.1605 -27.7042,7.05829,0.000109701
36.1605 -27.7042,7.02835,-3.21537e-05
36.1605 -27.7042,6.99841,4.18352e-06
36.1605 -27.7042,6.96848,-3.66491e-07
36.1605 -27.7042,6.93854,0.000312813
36.1605 -27.7042,6.9086,0.00345067
36.1605 -27.7042,6.87866,0.000201055
36.1605 -27.7042,6.84872,0.000145463
36.1605 -27.7042,6.81878,0.00212421
36.1605 -27.7042,6.78885,0.000253793
36.1605 -27.7042,6.75891,5.30022e-05
36.1605 -27.7042,6.72897,3.26796e-05
36.1605 -27.7042,6.69903,1.03041e-05
36.1605 -27.7042,6.66909,0.000821823
36.1605 -27.7042,6.63916,0.000194522
36.1605 -27.7042,6.60922,0.000949555
36.1605 -27.7042,6.57928,0.000306216
36.1605 -27.7042,6.54934,-2.26703e-05
36.1605 -27.7042,6.5194,3.56382e-05
36.1605 -27.7042,6.48946,0.000282484
36.1605 -27.7042,6.45953,0.00200729
36.1605 -27.7042,6.42959,4.97652e-05
36.1605 -27.7042,6.39965,0.00320962
36.1605 -27.7042,6.36971,0.00603515
36.1605 -27.7042,6.33977,0.000906467
36.1605 -27.7042,6.30984,5.76215e-05
36.1605 -27.7042,6.2799,8.79184e-05
36.1605 -27.7042,6.24996,5.01328e-05
36.1605 -27.7042,6.22002,0.00133524
36.1605 -27.7042,6.19008,0.00029431
36.1605 -27.7042,6.16014,2.03266e-05
36.1605 -27.7042,6.13021,2.59348e-05
36.1605 -27.7042,6.10027,4.11276e-05
36.1605 -27.7042,6.07033,7.01574e-05
36.1605 -27.7042,6.04039,7.98963e-05
36.1605 -27.7042,6.01045,0.00323271
36.1605 -27.7042,5.98052,0.0035211
36.1605 -27.7042,5.95058,0.00205732
36.1605 -27.7042,5.92064,0.000648062
36.1605 -27.7042,5.8907,9.7095e-05
36.1605 -27.7042,5.86076,0.000120734
36.1605 -27.7042,5.83083,2.32537e-05
36.1605 -27.7042,5.80089,2.16721e-06
36.1605 -27.7042,5.77095,4.26504e-05
36.1605 -27.7042,5.74101,2.10982e-05
36.1605 -27.7042,5.71107,2.51976e-05
36.1605 -27.7042,5.68113,2.91582e-05
36.1605 -27.7042,5.6512,5.98093e-05
36.1605 -27.7042,5.62126,7.71307e-05
36.1605 -27.7042,5.59132,1.36979e-05
36.1605 -27.7042,5.56138,0.000163239
36.1605 -27.7042,5.53144,0.00220408
36.1605 -27.7042,5.50151,0.000140777
36.1605 -27.7042,5.47157,0.000645386
36.1605 -27.7042,5.44163,0.00176253
36.1605 -27.7042,5.41169,1.52354e-05
36.1605 -27.7042,5.38175,7.67098e-05
36.1605 -27.7042,5.35181,0.00010604
36.1605 -27.7042,5.32188,-4.53327e-05
36.1605 -27.7042,5.29194,2.82016e-06
36.1605 -27.7042,5.262,4.65934e-05
36.1605 -27.7042,5.23206,5.05647e-05
36.1605 -27.7042,5.20212,9.48464e-05
36.1605 -27.7042,5.17219,1.04982e-05
36.1605 -27.7042,5.14225,5.38098e-05
36.1605 -27.7042,5.11231,6.58681e-08
36.1605 -27.7042,5.08237,-1.38024e-05
36.1605 -27.7042,5.05243,4.63514e-05
36.1605 -27.7042,5.02249,-5.94098e-06
36.1605 -27.7042,4.99256,-3.23676e-05
36.1605 -27.7042,4.96262,0.000449234
36.1605 -27.7042,4.93268,0.00138381
36.1605 -27.7042,4.90274,0.0015243
36.1605 -27.7042,4.8728,0.00138822
36.1605 -27.7042,4.84287,-3.7002e-05
36.1605 -27.7042,4.81293,0.000122772
36.1605 -27.7042,4.78299,0.000253925
36.1605 -27.7042,4.75305,0.0051037
36.1605 -27.7042,4.72311,0.00181714
36.1605 -27.7042,4.69318,9.84499e-05
36.1605 -27.7042,4.66324,1.54958e-05
36.1605 -27.7042,4.6333,9.59593e-05
36.1605 -27.7042,4.60336,0.000125608
36.1605 -27.7042,4.57342,0.00135815
36.1605 -27.7042,4.54348,0.00104059
36.1605 -27.7042,4.51355,0.00169028
36.1605 -27.7042,4.48361,0.000252491
36.1605 -27.7042,4.45367,0.00262388
36.1605 -27.7042,4.42373,0.000204479
36.1605 -27.7042,4.39379,0.0041152
36.1605 -27.7042,4.36386,0.00623245
36.1605 -27.7042,4.33392,0.000349417
36.1605 -27.7042,4.30398,0.00217354
36.1605 -27.7042,4.27404,0.000353036
36.1605 -27.7042,4.2441,0.000423639
36.1605 -27.7042,4.21416,0.000882218
36.1605 -27.7042,4.18423,0.00201659
36.1605 -27.7042,4.15429,0.00280145
36.1605 -27.7042,4.12435,0.00734985
36.1605 -27.7042,4.09441,0.000467034
36.1605 -27.7042,4.06447,0.000145159
36.1605 -27.7042,4.03454,0.000511134
36.1605 -27.7042,4.0046,0.000432392
36.1605 -27.7042,3.97466,0.000230478
36.1605 -27.7042,3.94472,8.48851e-05
36.1605 -27.7042,3.91478,3.32994e-05
36.1605 -27.7042,3.88484,9.44094e-05
36.1605 -27.7042,3.85491,0.000100357
36.1605 -27.7042,3.82497,0.00251394
36.1605 -27.7042,3.79503,0.00189327
36.1605 -27.7042,3.76509,5.10542e-05
36.1605 -27.7042,3.73515,5.69828e-05
36.1605 -27.7042,3.70522,5.50646e-05
36.1605 -27.7042,3.67528,4.48799e-05
36.1605 -27.7042,3.64534,0.000669389
36.1605 -27.7042,3.6154,0.000673847
36.1605 -27.7042,3.58546,-3.57191e-05
36.1605 -27.7042,3.55553,5.18459e-05
36.1605 -27.7042,3.52559,-1.40809e-05
36.1605 -27.7042,3.49565,6.78006e-05
36.1605 -27.7042,3.46571,-5.55933e-06
36.1605 -27.7042,3.43577,3.93104e-05
36.1605 -27.7042,3.40583,-3.30942e-05
36.1605 -27.7042,3.3759,-1.50674e-05
36.1605 -27.7042,3.34596,4.65916e-05
36.1605 -27.7042,3.31602,1.39821e-05
36.1605 -27.7042,3.28608,-2.35294e-05
36.1605 -27.7042,3.25614,8.73258e-05
36.1605 -27.7042,3.22621,0.000400327
36.1605 -27.7042,3.19627,0.00392798
36.1605 -27.7042,3.16633,0.000861567
36.1605 -27.7042,3.13639,1.05875e-05
36.1605 -27.7042,3.10645,6.04722e-05
36.1605 -27.7042,3.07651,4.67166e-05
36.1605 -27.7042,3.04658,-9.95949e-06
36.1605 -27.7042,3.01664,0.000306695
36.1605 -27.7042,2.9867,0.00459496
36.1605 -27.7042,2.95676,0.000388587
36.1605 -27.7042,2.92682,1.33741e-05
36.1605 -27.7042,2.89689,-4.16885e-06
36.1605 -27.7042,2.86695,1.55062e-05
36.1605 -27.7042,2.83701,6.59566e-05
36.1605 -27.7042,2.80707,0.00127453
36.1605 -27.7042,2.77713,0.00014537
36.1605 -27.7042,2.74719,3.67329e-05
36.1605 -27.7042,2.71726,0.00123034
36.1605 -27.7042,2.68732,0.000632073
36.1605 -27.7042,2.65738,7.84677e-06
36.1605 -27.7042,2.62744,0.00199162
36.1605 -27.7042,2.5975,0.00183753
36.1605 -27.7042,2.56757,-4.35838e-05
36.1605 -27.7042,2.53763,0.00310254
36.1605 -27.7042,2.50769,0.00636972
36.1605 -27.7042,2.47775,0.0018294
36.1605 -27.7042,2.44781,1.6165e-05
36.1605 -27.7042,2.41787,0.00216631
36.1605 -27.7042,2.38794,0.00401292
36.1605 -27.7042,2.358,0.00435826
36.1605 -27.7042,2.32806,0.00447599
36.1605 -27.7042,2.29812,0.00677611
36.1605 -27.7042,2.26818,0.00185461
36.1605 -27.7042,2.23825,0.000481127
36.1605 -27.7042,2.20831,0.00432486
36.1605 -27.7042,2.17837,0.000629537
36.1605 -27.7042,2.14843,9.56419e-05
36.1605 -27.7042,2.11849,0.000107276
36.1605 -27.7042,2.08856,9.06454e-05
36.1605 -27.7042,2.05862,8.9042e-05
36.1605 -27.7042,2.02868,7.17618e-05
36.1605 -27.7042,1.99874,9.18669e-05
36.1605 -27.7042,1.9688,0.00104814
36.1605 -27.7042,1.93886,0.00103242
36.1605 -27.7042,1.90893,0.00422789
36.1605 -27.7042,1.87899,0.0028582
36.1605 -27.7042,1.84905,0.00269394
36.1605 -27.7042,1.81911,0.000430027
36.1605 -27.7042,1.78917,2.26887e-05
36.1605 -27.7042,1.75924,0.000340459
36.1605 -27.7042,1.7293,0.000308293
