xy,z,val
-40.9272 -81.657,7.98637,3.92854e-05
-40.9272 -81.657,7.95643,-2.76264e-05
-40.9272 -81.657,7.9265,-8.00943e-05
-40.9272 -81.657,7.89656,4.07037e-05
-40.9272 -81.657,7.86662,0.000637184
-40.9272 -81.657,7.83668,0.00107805
-40.9272 -81.657,7.80674,2.50221e-05
-40.9272 -81.657,7.77681,0.000102718
-40.9272 -81.657,7.74687,-5.68952e-05
-40.9272 -81.657,7.71693,-8.62598e-06
-40.9272 -81.657,7.68699,9.62831e-05
-40.9272 -81.657,7.65705,0.000278302
-40.9272 -81.657,7.62711,0.00210512
-40.9272 -81.657,7.59718,0.00190726
-40.9272 -81.657,7.56724,0.00116073
-40.9272 -81.657,7.5373,-2.91675e-05
-40.9272 -81.657,7.50736,0.00105019
-40.9272 -81.657,7.47742,0.00130039
-40.9272 -81.657,7.44749,0.00258356
-40.9272 -81.657,7.41755,0.000395722
-40.9272 -81.657,7.38761,5.28536e-05
-40.9272 -81.657,7.35767,0.000109272
-40.9272 -81.657,7.32773,2.04529e-05
-40.9272 -81.657,7.2978,6.31113e-05
-40.9272 -81.657,7.26786,4.18079e-05
-40.9272 -81.657,7.23792,8.73685e-06
-40.9272 -81.657,7.20798,0.000107828
-40.9272 -81.657,7.17804,1.55625e-05
-40.9272 -81.657,7.1481,2.08981e-05
-40.9272 -81.657,7.11817,5.92495e-05
-40.9272 -81.657,7.08823,2.75544e-05
-40.9272 -81.657,7.05829,5.8924e-05
-40.9272 -81.657,7.02835,0.000613956
-40.9272 -81.657,6.99841,0.00330221
-40.9272 -81.657,6.96848,0.00546912
-40.9272 -81.657,6.93854,0.0002919
-40.9272 -81.657,6.9086,3.10556e-05
-40.9272 -81.657,6.87866,6.36409e-05
-40.9272 -81.657,6.84872,5.26537e-05
-40.9272 -81.657,6.81878,0.000788685
-40.9272 -81.657,6.78885,0.000468013
-40.9272 -81.657,6.75891,-1.3301e-05
-40.9272 -81.657,6.72897,5.90568e-05
-40.9272 -81.657,6.69903,0.00266186
-40.9272 -81.657,6.66909,0.00364382
-40.9272 -81.657,6.63916,0.00025741
-40.9272 -81.657,6.60922,8.15075e-05
-40.9272 -81.657,6.57928,2.50723e-05
-40.9272 -81.657,6.54934,3.93582e-05
-40.9272 -81.657,6.5194,6.45898e-05
-40.9272 -81.657,6.48946,0.000313636
-40.9272 -81.657,6.45953,1.40611e-05
-40.9272 -81.657,6.42959,0.000125735
-40.9272 -81.657,6.39965,2.92745e-05
-40.9272 -81.657,6.36971,0.00244268
-40.9272 -81.657,6.33977,0.000814011
-40.9272 -81.657,6.30984,9.9448e-05
-40.9272 -81.657,6.2799,0.000103212
-40.9272 -81.657,6.24996,1.48274e-05
-40.9272 -81.657,6.22002,1.37851e-05
-40.9272 -81.657,6.19008,0.00117429
-40.9272 -81.657,6.16014,0.00136663
-40.9272 -81.657,6.13021,4.62523e-07
-40.9272 -81.657,6.10027,0.000100538
-40.9272 -81.657,6.07033,-4.12624e-05
-40.9272 -81.657,6.04039,1.68771e-05
-40.9272 -81.657,6.01045,1.89473e-05
-40.9272 -81.657,5.98052,1.6456e-05
-40.9272 -81.657,5.95058,0.00119931
-40.9272 -81.657,5.92064,0.000428215
-40.9272 -81.657,5.8907,6.01293e-05
-40.9272 -81.657,5.86076,0.000399279
-40.9272 -81.657,5.83083,0.000712175
-40.9272 -81.657,5.80089,3.86227e-05
-40.9272 -81.657,5.77095,-5.31441e-05
-40.9272 -81.657,5.74101,5.81476e-06
-40.9272 -81.657,5.71107,9.73934e-05
-40.9272 -81.657,5.68113,2.38436e-05
-40.9272 -81.657,5.6512,0.00326436
-40.9272 -81.657,5.62126,0.00218789
-40.9272 -81.657,5.59132,-0.000136012
-40.9272 -81.657,5.56138,9.96489e-05
-40.9272 -81.657,5.53144,5.78252e-06
-40.9272 -81.657,5.50151,4.05377e-05
-40.9272 -81.657,5.47157,3.15099e-05
-40.9272 -81.657,5.44163,0.00359768
-40.9272 -81.657,5.41169,0.0040683
-40.9272 -81.657,5.38175,0.00019791
-40.9272 -81.657,5.35181,4.91384e-05
-40.9272 -81.657,5.32188,0.000206706
-40.9272 -81.657,5.29194,0.00427621
-40.9272 -81.657,5.262,0.00050459
-40.9272 -81.657,5.23206,0.000121295
-40.9272 -81.657,5.20212,0.00214177
-40.9272 -81.657,5.17219,0.00173525
-40.9272 -81.657,5.14225,-3.84905e-05
-40.9272 -81.657,5.11231,0.000142397
-40.9272 -81.657,5.08237,5.66747e-05
-40.9272 -81.657,5.05243,0.00055523
-40.9272 -81.657,5.02249,0.00395653
-40.9272 -81.657,4.99256,0.00021363
-40.9272 -81.657,4.96262,3.59067e-05
-40.9272 -81.657,4.93268,0.000483349
-40.9272 -81.657,4.90274,0.000492591
-40.9272 -81.657,4.8728,-4.53659e-05
-40.9272 -81.657,4.84287,0.000114908
-40.9272 -81.657,4.81293,-1.05998e-05
-40.9272 -81.657,4.78299,0.000372586
-40.9272 -81.657,4.75305,0.000528489
-40.9272 -81.657,4.72311,5.554e-05
-40.9272 -81.657,4.69318,0.000551231
-40.9272 -81.657,4.66324,0.000350901
-40.9272 -81.657,4.6333,-4.06963e-05
-40.9272 -81.657,4.60336,3.11813e-05
-40.9272 -81.657,4.57342,-4.26397e-05
-40.9272 -81.657,4.54348,4.41607e-05
-40.9272 -81.657,4.51355,-1.23085e-05
-40.9272 -81.657,4.48361,2.01709e-05
-40.9272 -81.657,4.45367,5.4104e-05
-40.9272 -81.657,4.42373,0.000591954
-40.9272 -81.657,4.39379,9.21524e-05
-40.9272 -81.657,4.36386,2.25432e-06
-40.9272 -81.657,4.33392,1.28092e-05
-40.9272 -81.657,4.30398,5.69666e-05
-40.9272 -81.657,4.27404,-8.28858e-06
-40.9272 -81.657,4.2441,0.00117015
-40.9272 -81.657,4.21416,0.00265271
-40.9272 -81.657,4.18423,-3.22401e-06
-40.9272 -81.657,4.15429,5.52737e-05
-40.9272 -81.657,4.12435,0.00422892
-40.9272 -81.657,4.09441,0.000982809
-40.9272 -81.657,4.06447,0.000409514
-40.9272 -81.657,4.03454,0.0024185
-40.9272 -81.657,4.0046,6.35813e-05
-40.9272 -81.657,3.97466,2.44012e-05
-40.9272 -81.657,3.94472,4.66635e-05
-40.9272 -81.657,3.91478,5.82483e-05
-40.9272 -81.657,3.88484,0.000489715
-40.9272 -81.657,3.85491,5.96219e-05
-40.9272 -81.657,3.82497,0.000122746
-40.9272 -81.657,3.79503,0.040961
-40.9272 -81.657,3.76509,0.238294
-40.9272 -81.657,3.73515,0.191267
-40.9272 -81.657,3.70522,0.103045
-40.9272 -81.657,3.67528,0.0288985
-40.9272 -81.657,3.64534,0.00484212
-40.9272 -81.657,3.6154,0.00418138
-40.9272 -81.657,3.58546,0.003322
-40.9272 -81.657,3.55553,0.00213462
-40.9272 -81.657,3.52559,0.00162775
-40.9272 -81.657,3.49565,0.00145138
-40.9272 -81.657,3.46571,0.0014228
-40.9272 -81.657,3.43577,0.00111364
-40.9272 -81.657,3.40583,0.00096169
-40.9272 -81.657,3.3759,0.000934904
-40.9272 -81.657,3.34596,0.00416075
-40.9272 -81.657,3.31602,0.00167313
-40.9272 -81.657,3.28608,0.00353715
-40.9272 -81.657,3.25614,0.00482071
-40.9272 -81.657,3.22621,0.00337527
-40.9272 -81.657,3.19627,0.00453304
-40.9272 -81.657,3.16633,0.000788853
-40.9272 -81.657,3.13639,0.000751299
-40.9272 -81.657,3.10645,0.000596989
-40.9272 -81.657,3.07651,0.000182169
-40.9272 -81.657,3.04658,0.000253669
-40.9272 -81.657,3.01664,0.000368213
-40.9272 -81.657,2.9867,0.000179076
-40.9272 -81.657,2.95676,0.000297366
-40.9272 -81.657,2.92682,0.0029571
-40.9272 -81.657,2.89689,0.000260814
-40.9272 -81.657,2.86695,0.00286991
-40.9272 -81.657,2.83701,0.00176199
-40.9272 -81.657,2.80707,0.00247162
-40.9272 -81.657,2.77713,0.0005709
-40.9272 -81.657,2.74719,0.000269199
-40.9272 -81.657,2.71726,0.000215331
-40.9272 -81.657,2.68732,0.000165637
-40.9272 -81.657,2.65738,0.00186498
