time,z
25097275.1384,599.475
25097275.1718,599.092
25097275.2044,598.899
25097275.233,597.88
25097275.2617,597.6
25097275.2906,596.522
25097275.3213,595.358
25097275.3531,593.824
25097275.3814,591.98
25097275.4107,590.735
25097275.455,589.189
25097275.4903,587.023
25097275.5311,585.838
25097275.5886,583.76
25097275.6412,583.132
25097275.686,582.325
25097275.7274,580.846
25097275.7694,579.675
25097275.7964,578.551
25097275.8391,577.636
25097275.8734,576.616
25097275.9096,576.532
25097275.9592,575.17
25097275.9995,574.818
25097276.0435,537.013
25097276.1044,496.674
25097276.1807,533.32
25097276.2447,567.034
25097276.2932,565.917
25097276.3535,570.14
25097276.4102,541.111
25097276.472,446.996
25097276.529,316.993
25097276.5345,316.842
25097276.5408,316.971
25097276.5464,316.85
25097276.5519,316.947
25097276.5579,316.732
25097276.5645,316.947
25097276.5705,316.782
25097276.5922,327.609
25097276.6661,394.714
25097276.7358,506.008
25097276.801,555.507
25097276.8527,559.026
25097276.9016,559.538
25097276.9411,558.17
25097276.9688,558.083
25097277.0132,558.312
25097277.068,555.876
25097277.1179,554.917
25097277.1755,554.951
25097277.2349,553.288
25097277.2925,551.591
25097277.3469,553.026
25097277.4049,551.179
25097277.4729,549.93
25097277.5354,677.249
25097277.5953,549.345
25097277.6503,511.997
25097277.6945,489.501
25097277.7628,450.323
25097277.8037,395.108
25097277.874,461.669
25097277.9453,507.653
25097278.012,544.411
25097278.0704,543.265
25097278.1177,543.919
25097278.1693,545.782
25097278.2244,546.482
25097278.2893,550.297
25097278.3371,552.137
25097278.3843,550.023
25097278.4311,550.504
25097278.4789,553.714
25097278.5225,551.821
25097278.5755,551.673
25097278.6201,552.336
25097278.6698,552.994
25097278.7199,553.497
25097278.7662,554.222
25097278.814,557.884
25097278.8602,556.778
25097278.9102,559.588
25097278.9575,557.902
25097279.0029,561.202
25097279.0457,562.867
25097279.0915,563.828
25097279.1433,565.653
25097279.1919,565.114
25097279.228,562.775
25097279.2572,563.601
25097279.2919,564.377
25097279.3223,566.038
25097279.3519,566.534
25097279.3829,567.556
25097279.4136,567.672
25097279.4434,568.691
25097279.4739,569.588
25097279.5028,570.481
25097279.5322,571.866
25097279.5601,573.352
25097279.5882,573.985
25097279.6161,574.845
25097279.6452,578.368
25097279.6746,578.854
25097279.7036,580.57
25097279.7319,582.546
25097279.7609,585.007
25097279.79,587.485
25097279.8175,589.736
25097279.8448,592.214
25097279.8731,593.739
25097279.9037,597.965
25097279.9349,599.52
25097279.9627,601.698
25097279.9922,603.734
25097280.0394,608.653
25097280.0718,611.551
25097280.1067,610.533
25097280.1617,619.401
25097280.2247,633.617
25097280.2811,646.96
25097280.3399,673.827
25097280.3975,711.581
25097280.4581,688.12
25097280.5178,701.255
25097280.5756,680.69
25097280.6312,674.751
25097280.6906,665.831
25097280.7427,657.624
25097280.7962,649.94
25097280.846,642.082
25097280.8956,637.392
25097280.946,634.496
25097280.9932,628.346
25097281.0378,625.163
25097281.0861,621.5
25097281.1345,617.538
25097281.1506,617.37
25097281.1878,616.948
25097281.2207,615.448
25097281.2546,617.222
25097281.2892,615.989
25097281.3261,611.722
25097281.359,608.501
25097281.3958,609.401
25097281.4253,607.436
25097281.4601,606.185
25097281.5187,580.579
25097281.5808,560.77
25097281.6324,599.647
25097281.6918,603.453
25097281.7422,605.073
25097281.7832,606.987
25097281.8275,609.949
25097281.8697,613.315
25097281.9082,615.148
25097281.9599,626.523
25097281.9931,615.678
25097282.027,617.439
25097282.0607,619.795
25097282.0984,624.706
25097282.1309,631.056
25097282.1702,636.754
25097282.2113,647.97
25097282.2756,658.234
25097282.3412,637.63
25097282.4063,633.878
25097282.4623,631.412
25097282.5737,624.458
25097282.7002,564.841
25097282.7163,545.615
25097282.7818,624.753
25097282.8147,616.944
25097282.8791,628.456
25097282.9401,629.886
25097283.1823,656.828
25097283.3012,677.335
